UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B001,BGEM-0001-N,1313.0,13.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,61.0,7.15,77.0,201.0,189.0
B002,BGEM-0002-N,1314.0,14.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,66.0,6.45,78.0,169.0,205.5
B003,BGEM-0003-N,1111.0,11.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,79.85,6.3,110.0,194.0,227.5
B004,BGEM-0004-N,1298.0,48.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,56.25,8.1,95.0,185.0,215.5
B005,BGEM-0005-N,1321.0,21.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,74.45,9.6,80.5,185.0,226.5
B006,BGEM-0006-S,1322.0,22.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,74.35,8.6,89.5,169.5,236.5
B007,BGEM-0007-S,1170.0,20.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,,,72.45,8.15,84.0,186.5,233.0
B008,BGEM-0008-S,1028.0,28.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,77.85,8.55,80.5,175.0,218.0
B009,BGEM-0010-S,1078.0,28.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,74.1,10.25,79.0,183.0,230.5
B010,BGEM-0011-S,1067.0,17.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,81.55,8.15,75.5,175.0,221.0
B011,BGEM-0012-S,1096.0,46.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,64.7,7.3,60.0,140.5,181.0
B012,BGEM-0013-S,1094.0,44.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,75.25,7.95,79.0,175.5,216.0
B013,BGEM-0014-S,1055.0,5.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,66.25,7.3,80.0,143.0,179.5
B014,BGEM-0015-S,1006.0,6.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,75.75,8.65,64.5,168.0,219.0
B016,BGEM-0019-S,1153.0,3.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,67.9,8.3,83.5,168.5,204.5
B018,BGEM-0020-S,1036.0,36.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,83.25,9.65,72.0,163.5,209.0
B019,BGEM-0021-S,1158.0,8.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,74.0,7.5,88.0,182.0,230.0
B021,BGEM-0023-S,1097.0,47.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,73.8,9.5,73.5,165.5,210.0
B022,BGEM-0024-S,1093.0,43.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,81.5,9.7,66.5,158.0,204.0
B023,BGEM-0025-S,1252.0,2.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,83.25,9.55,88.5,192.0,237.0
B024,BGEM-0026-S,1198.0,48.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,76.85,9.9,67.5,150.0,190.0
B025,BGEM-0027-S,1075.0,25.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,75.1,9.6,93.0,194.0,231.5
B026,BGEM-0028-S,1284.0,34.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,74.5,8.85,88.0,167.5,206.5
B027,BGEM-0030-S,1129.0,29.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,75.75,7.45,87.5,167.5,205.0
B028,BGEM-0031-S,1301.0,1.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,67.5,7.3,79.0,153.0,187.0
B029,BGEM-0032-S,1038.0,38.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,66.0,8.5,62.0,138.0,183.5
B030,BGEM-0033-S,1125.0,25.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,72.1,8.25,113.5,181.0,229.0
B031,BGEM-0034-S,1341.0,41.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,72.5,9.75,74.0,168.0,204.0
B032,BGEM-0035-S,1233.0,33.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,1.0,1.5,76.0,8.1,75.0,175.0,216.0
B033,BGEM-0036-S,1235.0,35.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,71.25,9.1,80.0,171.0,197.5
B034,BGEM-0037-S,1086.0,36.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,62.0,7.35,59.5,125.5,167.0
B035,BGEM-0038-N,1068.0,18.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,70.2,8.05,77.5,157.5,196.5
B036,BGEM-0039-N,1039.0,39.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,69.2,8.0,79.5,172.0,215.0
B037,BGEM-0040-N,1134.0,34.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,70.55,7.45,92.0,170.0,207.0
B038,BGEM-0041-S,1264.0,14.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,77.5,9.15,76.5,179.5,220.5
B039,BGEM-0042-S,1349.0,49.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,79.2,7.1,65.5,152.5,192.5
B040,BGEM-0043-S,1020.0,20.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,88.75,9.5,72.5,188.0,229.0
B041,BGEM-0044-S,1320.0,20.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,79.25,10.25,93.5,202.0,246.5
B042,BGEM-0045-N,1203.0,3.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,68.5,7.75,89.5,200.0,231.0
B043,BGEM-0046-N,1221.0,21.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,76.1,8.15,75.0,184.5,215.0
